[-1,7,50];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,32,66];[-1,32,67];[-1,44];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51,52];[-1,7,51,52];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,51];[-1,7,53];
[-1,7,25];[-1,7,64];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,39];[-1,7];[-1,7];[-1,7];[-1,14];[-1,14];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,65];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,68];[-1,7];[-1,7];[-1,7,59];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,14];[-1,14];[-1,7];[-1,7];[-1,7,68];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7,59];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7];[-1,14];[-1,7,59];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,14];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7,2];[-1,7,2];[-1,7,2];[-1,7,2,3];[-1,7,2];[-1,7,2,3];[-1,7,2];[-1,7,2];[-1,7,2];[-1,7,86];[-1,7,86];[-1,7,86];[-1,7,86];[-1,7,2,3];[-1,7,2];[-1,7,86];[-1,7,86];[-1,7,86];[-1,7,86];[-1,7,2];[-1,7,2];[-1,7,2,3];[-1,7,2];[-1,7,2];[-1,7,2,52,1];[-1,7,2,3];[-1,7,2];[-1,7,2];[-1,7,20];
[-1,7,25];[-1,7,64];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7,64];[-1,7];[-1,7];[-1,7];[-1,14];[-1,14];[-1,7,14];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7,59];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7,86];[-1,7];[-1,7];[-1,7];[-1,14];[-1,14,39];[-1,7,14];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7,89];[-1,7];[-1,7];[-1,7,89];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7,86];[-1,7];[-1,7,99];[-1,7,99];[-1,7];[-1,14];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,79,97];[-1,7];[-1,7];[-1,79,97];[-1,7];[-1,7];[-1,7,2,3];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7];[-1,7,86];[-1,7];[-1,7];[-1,7];[-1,7];[-1,14];[-1,14];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,14];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20,52,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7];[-1,7];[-1,7,20,52,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2,3];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,2];[-1,7];[-1,7];[-1,7];[-1,7,100];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,39];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7,59];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,68];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,39];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,20];
[-1,7,25];[-1,7,68];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,68];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7,77];[-1,8];[-1,8];[-1,8];[-1,20];
[-1,7,25];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,7];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,8];[-1,7];[-1,20];
[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,7,51,52,2,44];[-1,44];[-1,44];[-1,44];[-1,44];[-1,44];
