[-1,72,50];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,60,66];[-1,61,67];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42];[-1,72,1,42,53];
[-1,72,35];[-1,72,65];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,65];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72,64];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,77];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72,68];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,100];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,68];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72,100];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1,30];
[-1,72,35];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1,74];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1];[-1,72,1,74];[-1,72,1];[-1,72,1];[-1,72,1,30];
[-1,72,35];[-1,72,64];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,100];[-1,72,65];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,2];[-1];[-1];[-1];[-1];[-1];[-1];[-1,100];[-1];[-1];[-1];[-1];[-1];[-1];[-1];[-1];[-1,2];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72,100];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72,1];[-1,72,68];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,30];
[-1,72,35];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,68];[-1,72];[-1,72];[-1,72];[-1,72,1];[-1,72,100];[-1,72];[-1,72,1];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,68];[-1,72];[-1,72];[-1,72];[-1,72];[-1,72,30];
