[-1,26,50];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,66];[-1,26,67];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,51];[-1,26,53];
[-1,26,25];[-1,26,64];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26,77];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26,77];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,68];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,89];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26,99];[-1,26,100];[-1,26,97];[-1,26,99];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26,86];[-1,26,86];[-1,26,86];[-1,26,86];[-1,26,86];[-1,26,86];[-1,26,86];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26,86];[-1,26,86];[-1,26];[-1,26,77];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26,100];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26];[-1,26,86];[-1,26,86];[-1,26];[-1,26,100];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,65];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26,64];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,68];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,1];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26,77];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,100];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,77];[-1,26];[-1,26];[-1,26];[-1,26,68];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26,97];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,100];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,89];[-1,26];[-1,26,68];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,68];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
[-1,26,25];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26];[-1,26,20];
